K1,Construction,Warp,Weft,EPI-PPI
12091,20K*16K-128*60-155.7-3/1 (S)TWILL,20K,16K-128*60-155.7-3/1 (S)TWILL,128*60
12091,20K*16K-128*60-155.7-3/1 (S)TWILL,20K,16K-128*60-155.7-3/1 (S)TWILL,128*60
12091,20K*16OE-128*60-155.7-3/1 S TWILL,20K,16OE-128*60-155.7-3/1 S TWILL,128*60
12091,20K*16K-128*60-155-3/1 S TWILL,20K,16K-128*60-155-3/1 S TWILL,128*60
12091,20C*16K-128*60-155-3/1 S TWILL,20C,16K-128*60-155-3/1 S TWILL,128*60
12091,"20OE*16OE-128*60-152.3-3/1,S TWILL",20OE,"16OE-128*60-152.3-3/1,S TWILL",128*60
12091,"20K*16OE-128*60-152.3-3/1,S TWILL",20K,"16OE-128*60-152.3-3/1,S TWILL",128*60
12091,"20K*16K-128*60-152.3-3/1,S TWILL",20K,"16K-128*60-152.3-3/1,S TWILL",128*60
12091,"20OE*16OE-126*60-155-3/1,S TWILL-",20OE,"16OE-126*60-155-3/1,S TWILL-",126*60
12091,"20OE*16OE-126*60-155-3/1,S TWILL-",20OE,"16OE-126*60-155-3/1,S TWILL-",126*60
12091,"20OE*16OE-126*60-155-3/1,S TWILL-",20OE,"16OE-126*60-155-3/1,S TWILL-",126*60
12091,"20OE*16OE-126*60-155-3/1,S TWILL-",20OE,"16OE-126*60-155-3/1,S TWILL-",126*60
12091,"20OE*16K-126*60-155-155-3/1,S TWILL-",20OE,"16K-126*60-155-155-3/1,S TWILL-",126*60
12097,20PC*20PC-96*64-160-PLAIN,20PC,20PC-96*64-160-PLAIN,96*64
12097,20PC*20PC-96*64-160-PLAIN,20PC,20PC-96*64-160-PLAIN,96*64
12097,20C.PC*20C.PC-96*64-160-PLAIN,20C.PC,20C.PC-96*64-160-PLAIN,96*64
12104,21PC*13PC-110*63-162.6-3/1 TWILL,21PC,13PC-110*63-162.6-3/1 TWILL,110*63
12105,21PC*13PC-118*58-162.6-3/1 TWILL,21PC,13PC-118*58-162.6-3/1 TWILL,118*58
12449,"24C*24C-120*72-158.7-2/1,S TWILL",24C,"24C-120*72-158.7-2/1,S TWILL",120*72
12449,"24C*24C-120*72-158.7-2/1,S TWILL",24C,"24C-120*72-158.7-2/1,S TWILL",120*72
12449,"24C*24C-120*72-158.7-2/1,S TWILL",24C,"24C-120*72-158.7-2/1,S TWILL",120*72
